עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
10,חגית היימן,36,רווקה,הרצליה,נ,67,10,1
10,ליאור דואק,28,רווק,הרצליה פיתוח,ז,88,13,1
10,תקווה גדעון,31,רווקה,חולון,נ,95,14,1
10,יוסי אורפלי,67,נשוי+1,תל אביב,ז,92,13,1
10,מישל מיכייב,21,בזוגיות,רמת גן,נ,18,3,1
10,יעל פפר,46,רווקה+8,גדרה,נ,25,4,1
10,ירדן אדרי,26,רווקה,קריית מוצקין,נ,95,14,1
10,אדם אליוף,22,רווק,תל אביב,ז,93,14,1
10,רונן פייגנבוים,44,נשוי+3,הוד השרון,ז,39,6,1
10,ניר אבישי כהן,38,רווק,אלמגור,ז,86,12,1
10,אמלי פרי,34,גרושה מאורסת+3,נתניה,נ,44,7,1
10,גדי פניבילוב,22,נשוי+1,קריית חיים,ז,95,14,1
10,רות אלבז,31,רווקה,תל אביב,נ,32,5,1
10,אסיף אלקיים,28,רווק,פוריה,ז,95,14,1
10,אודליה סוויסה,34,נשואה+4,ירוחם,נ,46,14,7
10,כפיר כהן,34,רווק,תל אביב,ז,11,9,7
10,אלון וולקוביצקי,47,רווק,פתח תקווה,ז,5,7,7
10,שירלי סידיק,25,רווקה,תל אביב,נ,32,12,7
10,פול טשגיאן,26,רווק,חיפה,ז,25,11,7
10,נועם לוי,22,רווקה,גני תקווה,נ,13,9,7
10,אורן חזן,38,נשוי+2,אריאל,ז,5,1,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
11,"יחזקאל ""בגדדי"" צור",65,נשוי+2,רחובות,ז,8,2,1
11,ליאור כלפון,47,נשוי+4,בנימינה- בגעת עדה,ז,99,15,1
11,גל גברעם,19,רווקה,נתניה,נ,71,11,1
11,שולה זקן,63,נשואה+3,ירושלים,נ,27,5,1
11,דרור קונטנטו,34,"גרוש+1, בזוגיות",יפו,ז,81,12,1
11,"יונתן ""ג'וזי"" זירה",33,רווק,תל אביב,ז,108,16,1
11,קארין עליה,22,רווקה,קריית גת,נ,108,16,1
11,רמי ורד,57,גרוש+3,פתח תקווה,ז,106,16,1
11,מור לרמן,33,בזוגיות,רמת גן,נ,22,4,1
11,זהבה בן,52,גרושה+1,ראשון לציון,נ,108,16,1
11,אילון אקון,31,נשוי,הרצליה,ז,43,7,1
11,ימית אברמוב,38,נשואה+2,ירושלים,נ,50,8,1
11,לינור סביניק,25,גרושה,אזור,נ,78,12,1
11,תום חיימוב,33,רווק,תל אביב,ז,108,16,1
11,דיוויד דימוס,35,רווק,אילת,ז,15,3,1
11,אלימלך קשתי,36,גרוש בשנית+2,תל אביב,ז,5,1,1
11,יהודה יצחקוב,31,רווק,חולון,ז,90,13,1
11,רונית לוי,51,גרושה+2,עפולה,נ,36,6,1
11,אורן אסידו,27,נשוי+1,כפר סבא,ז,56,16,9
11,דלית דוידוב,37,נשואה+2,חולון,נ,12,10,9
11,דניאל לוין,32,רווק,תל אביב,ז,52,15,9
11,אופיר לוי,48,גרוש+3,ראש העין,ז,33,13,9
11,אלמוג חדד,25,רווקה,ראשון לציון,נ,56,16,9
11,נועה יונני,31,רווקה,תל אביב,נ,26,11,9
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
4VIP,"יעקב ""ג'קי"" מנחם",33,נשוי+1,רמת גן,ז,7,1,1
4VIP,אור שפיץ,24,רווקה,תל אביב,נ,54,9,1
4VIP,מאיה בצלאל,37,נשואה+2,תל אביב,נ,33,6,1
4VIP,עומר ברזני,30,בזוגיות,ירושלים,ז,57,9,1
4VIP,אייל ברקובר,30,רווק,תל אביב,ז,27,5,1
4VIP,רומי גיאור,23,רווקה,רמת השרון,נ,45,7,1
